title,url,source,difficulty,patterns
1. Two Sum,https://leetcode.com/problems/two-sum,leetcode,Easy,Hash Table/Hash Map
2. Add Two Numbers,https://leetcode.com/problems/add-two-numbers,leetcode,Medium,"Linked List Manipulation,Math and Geometry,Recursion"
3. Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,leetcode,Medium,"Sliding Window,Hash Table/Hash Map"
4. Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays,leetcode,Hard,"Binary Search,Divide and Conquer"
5. Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring,leetcode,Medium,"Dynamic Programming,Palindrome Patterns"
6. Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion,leetcode,Medium,"String Manipulation,Simulation"
7. Reverse Integer,https://leetcode.com/problems/reverse-integer,leetcode,Medium,Math and Geometry
8. String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi,leetcode,Medium,String Manipulation
9. Palindrome Number,https://leetcode.com/problems/palindrome-number,leetcode,Easy,"Math and Geometry,Palindrome Patterns"
10. Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching,leetcode,Hard,"Dynamic Programming,Recursion"
11. Container With Most Water,https://leetcode.com/problems/container-with-most-water,leetcode,Medium,"Two Pointers,Greedy"
12. Integer to Roman,https://leetcode.com/problems/integer-to-roman,leetcode,Medium,"Hash Table/Hash Map,Math and Geometry"
13. Roman to Integer,https://leetcode.com/problems/roman-to-integer,leetcode,Easy,"Hash Table/Hash Map,Math and Geometry"
14. Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix,leetcode,Easy,"String Manipulation,Trie"
15. 3Sum,https://leetcode.com/problems/3sum,leetcode,Medium,"Two Pointers,Sorting Algorithms"
16. 3Sum Closest,https://leetcode.com/problems/3sum-closest,leetcode,Medium,"Two Pointers,Sorting Algorithms"
17. Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,leetcode,Medium,"Backtracking,Recursion"
18. 4Sum,https://leetcode.com/problems/4sum,leetcode,Medium,"Two Pointers,Sorting Algorithms"
19. Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,leetcode,Medium,"Linked List Manipulation,Two Pointers"
20. Valid Parentheses,https://leetcode.com/problems/valid-parentheses,leetcode,Easy,Stack
21. Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,leetcode,Easy,"Recursion,Linked List Manipulation"
22. Generate Parentheses,https://leetcode.com/problems/generate-parentheses,leetcode,Medium,"Dynamic Programming,Backtracking"
23. Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,leetcode,Hard,"Heap/Priority Queue,Divide and Conquer,Linked List Manipulation"
24. Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,leetcode,Medium,"Recursion,Linked List Manipulation"
25. Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group,leetcode,Hard,"Recursion,Linked List Manipulation"
26. Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array,leetcode,Easy,Two Pointers
27. Remove Element,https://leetcode.com/problems/remove-element,leetcode,Easy,Two Pointers
28. Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,leetcode,Easy,"Two Pointers,String Manipulation"
29. Divide Two Integers,https://leetcode.com/problems/divide-two-integers,leetcode,Medium,Bit Manipulation
30. Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words,leetcode,Hard,"Sliding Window,Hash Table/Hash Map"
31. Next Permutation,https://leetcode.com/problems/next-permutation,leetcode,Medium,Two Pointers
32. Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,leetcode,Hard,"Dynamic Programming,Stack"
33. Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array,leetcode,Medium,"Binary Search,Modified Binary Search"
34. Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,leetcode,Medium,Binary Search
35. Search Insert Position,https://leetcode.com/problems/search-insert-position,leetcode,Easy,Binary Search
36. Valid Sudoku,https://leetcode.com/problems/valid-sudoku,leetcode,Medium,"Hash Table/Hash Map,Matrix Traversal"
37. Sudoku Solver,https://leetcode.com/problems/sudoku-solver,leetcode,Hard,"Backtracking,Hash Table/Hash Map,Matrix Traversal"
38. Count and Say,https://leetcode.com/problems/count-and-say,leetcode,Medium,String Manipulation
39. Combination Sum,https://leetcode.com/problems/combination-sum,leetcode,Medium,Backtracking
40. Combination Sum II,https://leetcode.com/problems/combination-sum-ii,leetcode,Medium,Backtracking
41. First Missing Positive,https://leetcode.com/problems/first-missing-positive,leetcode,Hard,"Cyclic Sort,Hash Table/Hash Map"
42. Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,leetcode,Hard,"Dynamic Programming,Two Pointers,Stack,Monotonic Stack"
43. Multiply Strings,https://leetcode.com/problems/multiply-strings,leetcode,Medium,String Manipulation
44. Wildcard Matching,https://leetcode.com/problems/wildcard-matching,leetcode,Hard,"Dynamic Programming,Greedy,Recursion"
45. Jump Game II,https://leetcode.com/problems/jump-game-ii,leetcode,Medium,"Dynamic Programming,Greedy"
46. Permutations,https://leetcode.com/problems/permutations,leetcode,Medium,Backtracking
47. Permutations II,https://leetcode.com/problems/permutations-ii,leetcode,Medium,Backtracking
48. Rotate Image,https://leetcode.com/problems/rotate-image,leetcode,Medium,"Math and Geometry,Matrix Traversal"
49. Group Anagrams,https://leetcode.com/problems/group-anagrams,leetcode,Medium,"Hash Table/Hash Map,String Manipulation,Sorting Algorithms"
"50. Pow(x, n)",https://leetcode.com/problems/powx-n,leetcode,Medium,"Recursion,Divide and Conquer"
51. N-Queens,https://leetcode.com/problems/n-queens,leetcode,Hard,Backtracking
52. N-Queens II,https://leetcode.com/problems/n-queens-ii,leetcode,Hard,Backtracking
53. Maximum Subarray,https://leetcode.com/problems/maximum-subarray,leetcode,Medium,"Dynamic Programming,Divide and Conquer"
54. Spiral Matrix,https://leetcode.com/problems/spiral-matrix,leetcode,Medium,Matrix Traversal
55. Jump Game,https://leetcode.com/problems/jump-game,leetcode,Medium,"Dynamic Programming,Greedy"
56. Merge Intervals,https://leetcode.com/problems/merge-intervals,leetcode,Medium,"Intervals/Merge Intervals,Sorting Algorithms"
57. Insert Interval,https://leetcode.com/problems/insert-interval,leetcode,Medium,Intervals/Merge Intervals
58. Length of Last Word,https://leetcode.com/problems/length-of-last-word,leetcode,Easy,String Manipulation
59. Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii,leetcode,Medium,Matrix Traversal
60. Permutation Sequence,https://leetcode.com/problems/permutation-sequence,leetcode,Hard,"Math and Geometry,Recursion"
61. Rotate List,https://leetcode.com/problems/rotate-list,leetcode,Medium,"Two Pointers,Linked List Manipulation"
62. Unique Paths,https://leetcode.com/problems/unique-paths,leetcode,Medium,Dynamic Programming
63. Unique Paths II,https://leetcode.com/problems/unique-paths-ii,leetcode,Medium,"Dynamic Programming,Matrix Traversal"
64. Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum,leetcode,Medium,"Dynamic Programming,Matrix Traversal"
65. Valid Number,https://leetcode.com/problems/valid-number,leetcode,Hard,String Manipulation
66. Plus One,https://leetcode.com/problems/plus-one,leetcode,Easy,Math and Geometry
67. Add Binary,https://leetcode.com/problems/add-binary,leetcode,Easy,"Bit Manipulation,String Manipulation"
68. Text Justification,https://leetcode.com/problems/text-justification,leetcode,Hard,String Manipulation
69. Sqrt(x),https://leetcode.com/problems/sqrtx,leetcode,Easy,Binary Search
70. Climbing Stairs,https://leetcode.com/problems/climbing-stairs,leetcode,Easy,Dynamic Programming
71. Simplify Path,https://leetcode.com/problems/simplify-path,leetcode,Medium,"Stack,String Manipulation"
72. Edit Distance,https://leetcode.com/problems/edit-distance,leetcode,Medium,Dynamic Programming
73. Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes,leetcode,Medium,"Hash Table/Hash Map,Matrix Traversal"
74. Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix,leetcode,Medium,"Binary Search,Matrix Traversal"
75. Sort Colors,https://leetcode.com/problems/sort-colors,leetcode,Medium,"Two Pointers,Sorting Algorithms"
76. Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring,leetcode,Hard,"Sliding Window,Hash Table/Hash Map"
77. Combinations,https://leetcode.com/problems/combinations,leetcode,Medium,Backtracking
78. Subsets,https://leetcode.com/problems/subsets,leetcode,Medium,"Backtracking,Bit Manipulation"
79. Word Search,https://leetcode.com/problems/word-search,leetcode,Medium,"Backtracking,Matrix Traversal"
80. Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,leetcode,Medium,Two Pointers
81. Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,leetcode,Medium,"Binary Search,Modified Binary Search"
82. Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,leetcode,Medium,"Two Pointers,Linked List Manipulation"
83. Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list,leetcode,Easy,Linked List Manipulation
84. Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram,leetcode,Hard,"Stack,Monotonic Stack"
85. Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle,leetcode,Hard,"Dynamic Programming,Stack,Monotonic Stack,Matrix Traversal"
